"統計期","行政區別","土地面積[平方公里]","實際編組里數[里]","戶籍登記里數[里]","實際編組鄰數[鄰]","戶籍登記鄰數[鄰]","戶數[戶]","人口數/總計[人]","人口數/男[人]","人口數/女[人]","性比例[男/百女]","戶量[人/戶]","人口密度[人/平方公里]"
"100年 1月底","內湖區",31.5787,39,0,884,0,97141,270956,130587,140369,93.03,2.79,8580
"100年 1月底","士林區",62.3682,51,0,987,0,101040,284976,138380,146596,94.40,2.82,4569
"100年 1月底","北投區",56.8216,42,0,821,0,89859,249573,121041,128532,94.17,2.78,4392
"100年 2月底","總計",271.7997,456,0,9534,0,984431,2624791,1265280,1359511,93.07,2.67,9657
"100年 2月底","松山區",9.2878,33,0,761,0,77979,208909,99077,109832,90.21,2.68,22493
"100年 2月底","信義區",11.2077,41,0,914,0,85929,225485,108548,116937,92.83,2.62,20119
"100年 2月底","大安區",11.3614,53,0,1027,0,116951,312111,146987,165124,89.02,2.67,27471
"100年 2月底","中山區",13.6821,42,0,872,0,92068,220781,103839,116942,88.80,2.40,16136
"100年 2月底","中正區",7.6071,31,0,584,0,62303,159850,77119,82731,93.22,2.57,21013
"100年 2月底","大同區",5.6815,25,0,524,0,47545,124971,61553,63418,97.06,2.63,21996
"100年 2月底","萬華區",8.8522,36,0,722,0,74282,189381,94376,95005,99.34,2.55,21394
"100年 2月底","文山區",31.5090,43,0,994,0,97251,262852,127301,135551,93.91,2.70,8342
"100年 2月底","南港區",21.8424,20,0,444,0,41875,114309,56173,58136,96.62,2.73,5233
"100年 2月底","內湖區",31.5787,39,0,884,0,97270,271402,130813,140589,93.05,2.79,8594
"100年 2月底","士林區",62.3682,51,0,987,0,101078,285085,138409,146676,94.36,2.82,4571
"100年 2月底","北投區",56.8216,42,0,821,0,89900,249655,121085,128570,94.18,2.78,4394
"100年 3月底","總計",271.7997,456,0,9535,0,986124,2627677,1266557,1361120,93.05,2.66,9668
"100年 3月底","松山區",9.2878,33,0,761,0,78062,209128,99165,109963,90.18,2.68,22516
"100年 3月底","信義區",11.2077,41,0,914,0,86009,225642,108609,117033,92.80,2.62,20133
"100年 3月底","大安區",11.3614,53,0,1028,0,117092,312378,147085,165293,88.98,2.67,27495
"100年 3月底","中山區",13.6821,42,0,872,0,92261,221110,103996,117114,88.80,2.40,16161
"100年 3月底","中正區",7.6071,31,0,584,0,62429,160058,77220,82838,93.22,2.56,21041
"100年 3月底","大同區",5.6815,25,0,524,0,47725,125238,61650,63588,96.95,2.62,22043
